~                val Ale Alx Aus Bau Bem Bra Clq Crk DLk Dul EGF Ely Fmt Frb FFl GPo GRa Hib Hut IFl LCr Lit LFa Luv Mkt Mar Mpl Mvo Mrh Mor NUl Nfd Noy Owa Pip RWi Rch SCl SPl SPt Skp Stl TRF Vir Was Wlm Wnd Win Wrt
Fairmont           ~  21  55  26  98  80  63  70  84  73  73  89  88   ~  33  65  98  72  82  36  97  49  37  58  30  19  37  44  46  74  53  18  36 100  29  36  44  36  50  44  22  34  48  89  80  27  42  19  45  22
Faribault          ~  19  49  22  87  67  49  50  81  63  53  83  70  33   ~  58  81  63  63  31  79  38  34  43  52  17  43  19  46  68  54  24   7  96   8  48  19  21  35  19  15  16  24  80  61  13  40  34  34  45
Fergus Falls       ~  67  19  70  61  40  32  53  38  18  56  40  71  65  58   ~  84  50  57  44  63  78  38  35  57  62  42  49  32  21  20  51  57  56  61  52  61  65  34  51  60  51  52  41  60  64  35  55  75  55
GrandPortage       ~  89  83  92  82  73  66  47  88  82  43  92  43  98  81  84   ~  60  59  80  70  98  79  72 112  87  94  73  89  90  88  90  80 102  84 101  82  86  71  72  85  77  73  88  57  86  82  98  94 102
GrandRapids        ~  72  47  75  39  24  27  24  44  39  27  50  33  72  63  50  60   ~  14  52  36  81  50  35  80  62  68  55  62  48  55  60  62  62  66  75  64  68  42  49  60  51  55  45  21  69  54  72  78  78
Hibbing            ~  72  54  75  47  32  35  24  51  46  26  57  25  82  63  57  59  14   ~  57  32  81  55  42  97  70  72  55  66  55  62  73  62  68  67  79  63  68  47  54  67  59  55  52  11  69  59  81  78  86
Hutchinson         ~  42  34  45  74  54  34  48  68  50  52  70  69  36  31  44  80  52  57   ~  76  55  10  27  47  24  31  22  24  56  33  17  30  84  35  41  35  40  19  24  21  19  28  68  60  30  18  33  51  40
InternationalFalls ~  87  62  90  24  35  54  44  53  54  45  58  40  97  79  63  70  36  32  76   ~  95  74  62 111  85  85  71  77  62  71  88  78  56  82  92  80  84  69  70  83  75  71  49  31  84  73  96  92 100
LaCrescent         ~  37  70  32 102  85  69  68  99  82  71 100  87  49  38  78  98  81  81  55  95   ~  57  63  66  44  65  43  68  87  74  49  37 113  34  71  29  24  57  42  46  44  45  98  79  37  62  58  12  60
Litchfield         ~  45  27  47  72  52  32  47  63  47  50  65  68  37  34  38  79  50  55  10  74  57   ~  25  46  28  30  23  23  50  27  22  33  79  38  40  38  43  16  25  26  25  30  66  59  41  12  36  54  43
LittleFalls        ~  53  20  56  59  38  13  38  52  32  42  58  58  58  43  35  72  35  42  27  62  63  25   ~  59  47  45  33  39  42  31  37  42  69  46  54  43  50  14  33  45  35  35  52  47  49  30  51  60  57
Luverne            ~  42  53  46  94  77  65  85  74  65  86  76 103  30  52  57 112  80  97  47 111  66  46  59   ~  38  24  55  35  61  46  37  54  89  49  12  62  55  53  62  41  50  65  79  95  47  40  22  63  14
Mankato            ~  22  54  29  89  71  54  56  84  68  60  86  77  19  17  62  87  62  70  24  85  44  28  47  38   ~  34  27  39  72  47  13  20  99  18  39  30  28  40  28   7  21  33  84  67  12  34  23  40  30
Marshall           ~  49  36  52  83  64  52  64  65  51  68  68  84  37  43  42  94  68  72  31  85  65  30  45  24  34   ~  44  16  53  30  27  41  82  44  17  50  52  38  46  34  39  49  69  75  40  24  25  62  22
Minneapolis        ~  31  40  34  79  59  40  40  72  55  44  75  62  44  19  49  73  55  55  22  71  43  23  33  55  27  44   ~  38  60  45  31  17  88  23  53  20  27  24   5  23  10  12  72  53  27  30  42  40  48
Montevideo         ~  57  26  61  75  56  45  58  58  42  62  61  78  46  46  32  89  62  66  24  77  68  23  39  35  39  16  38   ~  45  19  32  45  75  49  29  49  55  31  40  37  37  49  61  70  45  15  35  64  33
Moorhead           ~  77  33  80  60  39  40  59  24  17  63  27  69  74  68  21  90  48  55  56  62  87  50  42  61  72  53  60  45   ~  34  62  67  44  71  56  71  75  46  62  70  62  63  34  60  74  47  66  84  66
Morris             ~  63  18  66  69  49  38  57  49  32  61  52  77  53  54  20  88  55  62  33  71  74  27  31  46  47  30  45  19  34   ~  40  53  66  58  40  57  62  30  47  45  47  49  52  68  53  20  43  71  44
NewUlm             ~  29  42  35  81  62  44  59  74  58  63  76  79  18  24  51  90  60  73  17  88  49  22  37  37  13  27  31  32  62  40   ~  28  90  25  33  36  34  30  33  12  25  37  76  71  20  27  22  46  30
Northfield         ~  22  48  26  86  66  48  49  80  62  52  82  69  36   7  57  80  62  62  30  78  37  33  42  54  20  41  17  45  67  53  28   ~  95  13  51  15  20  34  17  18  14  20  80  60  17  39  37  33  48
Noyes              ~ 104  66 106  42  49  67  75  29  49  77  28  81 100  96  56 102  62  68  84  56 113  79  69  89  99  82  88  75  44  66  90  95   ~  98  85  98 102  76  89  97  90  91  26  72 101  77  93 110  96
Owatonna           ~  14  53  14  90  70  53  53  84  66  57  85  73  29   8  61  84  66  67  35  82  34  38  46  49  18  44  23  49  71  58  25  13  98   ~  54  23  16  38  23  21  21  28  83  64   9  44  35  30  42
Pipestone          ~  48  48  52  90  72  60  72  69  61  75  71  91  36  48  52 101  75  79  41  92  71  40  54  12  39  17  53  29  56  40  33  51  85  54   ~  58  60  48  55  39  48  58  75  82  45  34  23  68  21
RedWing            ~  31  53  28  87  69  52  50  82  66  53  85  70  44  19  61  82  64  63  35  80  29  38  43  62  30  50  20  49  71  57  36  15  98  23  58   ~  18  37  19  28  21  18  81  63  27  43  45  22  57
Rochester          ~  23  57  16  91  73  56  55  87  69  58  90  75  36  21  65  86  68  68  40  84  24  43  50  55  28  52  27  55  75  62  34  20 102  16  60  18   ~  43  26  30  28  30  86  66  20  49  46  19  48
SaintCloud         ~  45  24  48  65  44  23  38  60  40  42  62  60  50  35  34  71  42  47  19  69  57  16  14  53  40  38  24  31  46  30  30  34  76  38  48  37  43   ~  26  37  26  28  59  51  42  22  44  54  51
SaintPaul          ~  31  41  35  78  59  40  39  74  55  43  76  61  44  19  51  72  49  54  24  70  42  25  33  62  28  46   5  40  62  47  33  17  89  23  55  19  26  26   ~  25  12   9  73  52  27  32  43  38  55
SaintPeter         ~  25  51  31  87  69  51  54  82  65  58  84  74  22  15  60  85  60  67  21  83  46  26  45  41   7  34  23  37  70  45  12  18  97  21  39  28  30  37  25   ~  18  30  82  65  16  33  26  42  33
Shakopee           ~  29  42  33  79  61  42  45  74  57  48  76  66  34  16  51  77  51  59  19  75  44  25  35  50  21  39  10  37  62  47  25  14  90  21  48  21  28  26  12  18   ~  18  74  57  21  33  37  40  44
Stillwater         ~  36  43  39  79  61  42  40  75  57  44  78  62  48  24  52  73  55  55  28  71  45  30  35  65  33  49  12  49  63  49  37  20  91  28  58  18  30  28   9  30  18   ~  74  53  32  41  47  37  59
ThiefRiverFalls    ~  89  51  91  37  30  51  59  17  31  62  19  66  89  80  41  88  45  52  68  49  98  66  52  79  84  69  72  61  34  52  76  80  26  83  75  81  86  59  73  82  74  74   ~  57  86  64  81  95  81
Virginia           ~  70  64  73  46  38  40  22  56  51  23  61  19  80  61  60  57  21  11  60  31  79  59  47  95  67  75  53  70  60  68  71  60  72  64  82  63  66  51  52  65  57  53  57   ~  67  62  79  76  84
Waseca             ~  14  56  21  92  73  56  56  86  69  59  88  76  27  13  64  86  69  69  30  84  37  41  49  47  12  40  27  45  74  53  20  17 101   9  45  27  20  42  27  16  21  32  86  67   ~  41  30  33  37
Willmar            ~  48  23  53  71  51  37  51  61  45  55  63  72  42  40  35  82  54  59  18  73  62  12  30  40  34  24  30  15  47  20  27  39  77  44  34  43  49  22  32  33  33  41  64  62  41   ~  30  59  38
Windom             ~  33  45  37  87  69  57  68  78  64  72  80  88  19  34  55  98  72  81  33  96  58  36  51  22  23  25  42  35  66  43  22  37  93  35  23  45  46  44  43  26  37  47  81  79  30  30   ~  54  13
Winona             ~  33  67  27 100  82  66  65  96  79  68  98  84  45  34  75  94  78  78  51  92  12  54  60  63  40  62  40  64  84  71  46  33 110  30  68  22  19  54  38  42  40  37  95  76  33  59  54   ~  57
Worthington        ~  35  51  39  92  75  63  74  76  64  77  83  93  22  45  55 102  78  86  40 100  60  43  57  14  30  22  48  33  66  44  30  48  96  42  21  57  48  51  55  33  44  59  81  84  37  38  13  57   ~
